2026-04-12 23:27:12,020 | INFO | JobAgent.database | ✅ 数据库连接池创建成功: boss_zhipin
2026-04-12 23:27:12,020 | INFO | JobAgent.database | loading embedding model: nomic-embed-text-v2-moe
2026-04-12 23:27:12,978 | INFO | JobAgent.database | embedding model loaded: nomic-embed-text-v2-moe
2026-04-12 23:27:14,102 | INFO | JobAgent.database | memory extractor model loaded: qwen-max-2025-01-25
2026-04-12 23:27:14,167 | INFO | JobAgent.database | database schema and indexes ready
2026-04-12 23:27:18,207 | INFO | JobAgent.tools | loading reranker model from ./models/bge-reranker-v2-m3
2026-04-12 23:27:20,510 | INFO | JobAgent.tools | reranker model loaded
2026-04-12 23:27:23,195 | INFO | JobAgent.main | application starting
2026-04-12 23:27:23,198 | INFO | JobAgent.resume_task_queue | resume task worker started: consumer=resume_worker:26356:f7a31216
2026-04-12 23:27:23,204 | INFO | JobAgent.redis_client | redis connected: redis://localhost:6379/0
2026-04-12 23:27:30,008 | INFO | JobAgent.resume_task_queue | resume task worker stopped
2026-04-12 23:27:30,009 | INFO | JobAgent.main | application shutting down
